# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -1.7246259897e+01    2.7571488063e-01    1.0241000000e+04    1.0240000000e+04    0.0000000000e+00   -1.7249911946e+01    9.9485466958e-01    9.9951171875e-01
         1   -1.7253683475e+01    2.7465484510e-01    1.0239103335e+04    1.0240000000e+04    0.0000000000e+00   -1.7265790193e+01    9.9580145057e-01    9.9882812500e-01
         2   -1.7252577795e+01    2.3709669048e-01    1.0239963319e+04    1.0238000000e+04    3.7500000000e-01   -1.7214617160e+01    9.9548064295e-01    9.9863254542e-01
         3   -1.7256320745e+01    2.1920906812e-01    1.0240053611e+04    1.0228000000e+04    4.3750000000e-01   -1.7018065358e+01    9.9546310448e-01    9.9960891670e-01
         4   -1.7251605487e+01    2.1602168642e-01    1.0239887858e+04    1.0242000000e+04    5.0000000000e-01   -1.7295379430e+01    9.9521944818e-01    9.9951181410e-01
         5   -1.7247790725e+01    2.3084340134e-01    1.0239922628e+04    1.0245000000e+04    1.8750000000e-01   -1.7349237902e+01    9.9553371343e-01    9.9892630551e-01
         6   -1.7253378133e+01    2.0894895267e-01    1.0240141865e+04    1.0241000000e+04    3.1250000000e-01   -1.7267321021e+01    9.9500428321e-01    9.9951176643e-01
         7   -1.7256497783e+01    2.2030106783e-01    1.0240109047e+04    1.0246000000e+04    4.3750000000e-01   -1.7370531314e+01    9.9569022665e-01    9.9882881124e-01
         8   -1.7255167477e+01    2.3815115877e-01    1.0239971929e+04    1.0242000000e+04    4.3750000000e-01   -1.7295556469e+01    9.9562259654e-01    9.9892599102e-01
         9   -1.7258144175e+01    4.1300138571e-01    1.0240089452e+04    1.0238000000e+04    3.7500000000e-01   -1.7216101162e+01    9.9530305206e-01    9.9892557140e-01
        10   -1.7255523004e+01    2.3812295518e-01    1.0239872237e+04    1.0230000000e+04    3.7500000000e-01   -1.7062736245e+01    9.9556431010e-01    9.9970674487e-01
        11   -1.7253001455e+01    2.4814061964e-01    1.0239962179e+04    1.0245000000e+04    3.1250000000e-01   -1.7353155419e+01    9.9482539898e-01    9.9951195705e-01
        12   -1.7252993981e+01    2.2589159946e-01    1.0239995462e+04    1.0243000000e+04    2.5000000000e-01   -1.7311586624e+01    9.9551871648e-01    9.9873084057e-01
        13   -1.7258314304e+01    2.3594685164e-01    1.0240116892e+04    1.0232000000e+04    4.3750000000e-01   -1.7096682914e+01    9.9501435315e-01    9.9970680219e-01
        14   -1.7263733232e+01    5.0660201202e-01    1.0240129082e+04    1.0241000000e+04    3.1250000000e-01   -1.7277844601e+01    9.9564978045e-01    9.9912117957e-01
        15   -1.7256268300e+01    2.3662369296e-01    1.0239917354e+04    1.0241000000e+04    3.1250000000e-01   -1.7283263528e+01    9.9527421414e-01    9.9902353286e-01
