#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7253193898e+01    2.9792376628e+02   -3.0881906942e+01    1.3628713044e+01   -5.6889358942e+01    1.9333556206e+00    1.7093333133e+01    6.9807632464e+00    1.0239000000e+05    1.2412613651e+00    9.9726562374e-01
         1   -1.7258322928e+01    2.9814430652e+02   -3.0871379463e+01    1.3613056535e+01   -5.6839061949e+01    1.8931932825e+00    1.7093725957e+01    6.9807632464e+00    1.0241500000e+05    1.2457291893e+00    9.9723651015e-01
         2   -1.7258952049e+01    2.9811728365e+02   -3.0737508945e+01    1.3478556896e+01   -5.6714418273e+01    1.9101904542e+00    1.7085955627e+01    6.9807632464e+00    1.0239700000e+05    1.2362401455e+00    9.9744614608e-01
         3   -1.7254255948e+01    2.9795924521e+02   -3.0769593219e+01    1.3515337271e+01   -5.6740118516e+01    1.9043965609e+00    1.7085365490e+01    6.9807632464e+00    1.0239000000e+05    1.2436986849e+00    9.9745097413e-01
         4   -1.7258109058e+01    2.9808541510e+02   -3.0776904234e+01    1.3518795176e+01   -5.6702829860e+01    1.8719837577e+00    1.7073178622e+01    6.9807632464e+00    1.0241500000e+05    1.2377145547e+00    9.9743308234e-01
         5   -1.7255618869e+01    2.9799374819e+02   -3.0819583080e+01    1.3563964212e+01   -5.6723203178e+01    1.8597306222e+00    1.7063126229e+01    6.9807632464e+00    1.0241800000e+05    1.2383341998e+00    9.9736743093e-01
         6   -1.7259632388e+01    2.9814055373e+02   -3.0857679309e+01    1.3598046920e+01   -5.6839343593e+01    1.9240156264e+00    1.7076885412e+01    6.9807632464e+00    1.0240300000e+05    1.2324190823e+00    9.9741934634e-01
         7   -1.7255142326e+01    2.9798952154e+02   -3.0823736421e+01    1.3568594095e+01   -5.6806914713e+01    1.9373606292e+00    1.7065054417e+01    6.9807632464e+00    1.0243600000e+05    1.2281160844e+00    9.9735460088e-01
         8   -1.7254823558e+01    2.9797157182e+02   -3.0834448959e+01    1.3579625400e+01   -5.6810286545e+01    1.9518636832e+00    1.7043210657e+01    6.9807632464e+00    1.0242000000e+05    1.2336659734e+00    9.9742622564e-01
         9   -1.7257984497e+01    2.9807544639e+02   -3.0821278804e+01    1.3563294307e+01   -5.6784616528e+01    1.9280942927e+00    1.7054480185e+01    6.9807632464e+00    1.0239500000e+05    1.2879544499e+00    9.9723862239e-01
        10   -1.7259694850e+01    2.9817214014e+02   -3.0876317451e+01    1.3616622601e+01   -5.6826898461e+01    1.9245728437e+00    1.7045244920e+01    6.9807632464e+00    1.0249800000e+05    1.2443187057e+00    9.9728218396e-01
        11   -1.7259594350e+01    2.9812518346e+02   -3.0924581410e+01    1.3664987059e+01   -5.6821347542e+01    1.8802894023e+00    1.7035713483e+01    6.9807632464e+00    1.0265700000e+05    1.2454158490e+00    9.9741124859e-01
        12   -1.7261482232e+01    2.9820171299e+02   -3.0777571176e+01    1.3516088945e+01   -5.6715410347e+01    1.9016610945e+00    1.7055414829e+01    6.9807632464e+00    1.0275400000e+05    1.2455928051e+00    9.9734767078e-01
        13   -1.7261171888e+01    2.9817397289e+02   -3.0825854541e+01    1.3564682654e+01   -5.6771872290e+01    1.9117476517e+00    1.7053506850e+01    6.9807632464e+00    1.0274500000e+05    1.2479958832e+00    9.9745503737e-01
        14   -1.7261803626e+01    2.9819754093e+02   -3.0855607967e+01    1.3593804340e+01   -5.6881044973e+01    1.9779992609e+00    1.7066674499e+01    6.9807632464e+00    1.0260500000e+05    1.2496858192e+00    9.9737387325e-01
        15   -1.7261461452e+01    2.9819530490e+02   -3.0927561355e+01    1.3666099902e+01   -5.6931964776e+01    1.9555114147e+00    1.7068128760e+01    6.9807632464e+00    1.0249700000e+05    1.2397529047e+00    9.9740987797e-01
        16   -1.7261188952e+01    2.9817059699e+02   -3.0954345111e+01    1.3693156159e+01   -5.6936400698e+01    1.9265834675e+00    1.7074708873e+01    6.9807632464e+00    1.0253700000e+05    1.2418927999e+00    9.9732400820e-01
        17   -1.7254408996e+01    2.9793523419e+02   -3.0846723211e+01    1.3592314215e+01   -5.6890213388e+01    1.9663747850e+00    1.7096352145e+01    6.9807632464e+00    1.0256500000e+05    1.2445780624e+00    9.9737955438e-01
        18   -1.7254232052e+01    2.9793933502e+02   -3.0902416049e+01    1.3648183997e+01   -5.6917838711e+01    1.9274010567e+00    1.7107258359e+01    6.9807632464e+00    1.0246200000e+05    1.2740027013e+00    9.9730672918e-01
        19   -1.7257830284e+01    2.9807925664e+02   -3.0866593189e+01    1.3608762905e+01   -5.6889178452e+01    1.9370751830e+00    1.7104746834e+01    6.9807632464e+00    1.0248900000e+05    1.2881272707e+00    9.9730803557e-01
        20   -1.7256867820e+01    2.9803651216e+02   -3.0926711326e+01    1.3669843507e+01   -5.6898575601e+01    1.8848237306e+00    1.7106277298e+01    6.9807632464e+00    1.0254100000e+05    1.2513401008e+00    9.9741295367e-01
        21   -1.7255528944e+01    2.9797858166e+02   -3.0932308244e+01    1.3676779300e+01   -5.6964230073e+01    1.9285094215e+00    1.7122649162e+01    6.9807632464e+00    1.0253800000e+05    1.2600316938e+00    9.9728315007e-01
        22   -1.7260632098e+01    2.9817096281e+02   -3.0847488603e+01    1.3586856504e+01   -5.6873895800e+01    1.9197714571e+00    1.7125872494e+01    6.9807632464e+00    1.0239700000e+05    1.2378249086e+00    9.9735839910e-01
