#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.8301800795e+00    8.1591281804e+00   -6.5577641910e+00    3.7275841115e+00    1.1431408280e+00   -7.7009050190e+00    1.6000000000e+04    6.2709142931e-02    8.6856250000e-01
         1   -2.8213484221e+00    8.1107699786e+00   -6.5280915415e+00    3.7067431194e+00    1.1549218049e+00   -7.6830133464e+00    1.6000000000e+04    6.2488426031e-02    8.7234375000e-01
         2   -2.8480229266e+00    8.2600062525e+00   -6.5326596429e+00    3.6846367164e+00    1.1210361918e+00   -7.6536958348e+00    1.6000000000e+04    6.2401341319e-02    8.7446875000e-01
         3   -2.8528456957e+00    8.2893464379e+00   -6.4716049292e+00    3.6187592335e+00    1.1064917889e+00   -7.5780967181e+00    1.6000000000e+04    6.5072725756e-02    8.7171875000e-01
         4   -2.8293058068e+00    8.1583107247e+00   -6.5954687389e+00    3.7661629321e+00    1.1427747268e+00   -7.7382434657e+00    1.6000000000e+04    6.2602684725e-02    8.6659375000e-01
         5   -2.8421825342e+00    8.2329269737e+00   -6.3927285366e+00    3.5505460024e+00    1.1310038832e+00   -7.5237324197e+00    1.6000000000e+04    6.2446236463e-02    8.7100000000e-01
         6   -2.8365673717e+00    8.1983726481e+00   -6.4673050779e+00    3.6307377062e+00    1.1336793989e+00   -7.6009844769e+00    1.6000000000e+04    6.2169137388e-02    8.7193750000e-01
         7   -2.8468452528e+00    8.2520663937e+00   -6.3278889223e+00    3.4810436695e+00    1.1158886892e+00   -7.4437776115e+00    1.6000000000e+04    6.2341519425e-02    8.7575000000e-01
         8   -2.8373249459e+00    8.2020450242e+00   -6.3670974392e+00    3.5297724933e+00    1.1366332946e+00   -7.5037307339e+00    1.6000000000e+04    6.2343460538e-02    8.7193750000e-01
         9   -2.8298938886e+00    8.1584173957e+00   -6.5496009730e+00    3.7197070844e+00    1.1507731539e+00   -7.7003741270e+00    1.6000000000e+04    6.3679250700e-02    8.7059375000e-01
        10   -2.8472376417e+00    8.2593309763e+00   -6.4105765307e+00    3.5633388890e+00    1.1234758736e+00   -7.5340524043e+00    1.6000000000e+04    6.3044772100e-02    8.7081250000e-01
        11   -2.8257344193e+00    8.1358986201e+00   -6.5200935594e+00    3.6943591401e+00    1.1550041395e+00   -7.6750976989e+00    1.6000000000e+04    6.2632197238e-02    8.7143750000e-01
        12   -2.8403349156e+00    8.2149761475e+00   -6.4329072310e+00    3.5925723153e+00    1.1243060977e+00   -7.5572133286e+00    1.6000000000e+04    6.2554046713e-02    8.7125000000e-01
        13   -2.8473140892e+00    8.2551634217e+00   -6.4171111381e+00    3.5697970488e+00    1.1192232092e+00   -7.5363343472e+00    1.6000000000e+04    6.1934763031e-02    8.7168750000e-01
        14   -2.8306553019e+00    8.1652193905e+00   -6.5335888398e+00    3.7029335379e+00    1.1500162481e+00   -7.6836050879e+00    1.6000000000e+04    6.2068422131e-02    8.6846875000e-01
        15   -2.8436200677e+00    8.2388434271e+00   -6.3889062314e+00    3.5452861637e+00    1.1268699285e+00   -7.5157761599e+00    1.6000000000e+04    6.2557285631e-02    8.7268750000e-01
        16   -2.8379043946e+00    8.1973590860e+00   -6.4421234317e+00    3.6042190371e+00    1.1376082019e+00   -7.5797316336e+00    1.6000000000e+04    6.2001161306e-02    8.7446875000e-01
        17   -2.8453974185e+00    8.2475738748e+00   -6.4464010665e+00    3.6010036480e+00    1.1232112547e+00   -7.5696123212e+00    1.6000000000e+04    6.2525477550e-02    8.7071875000e-01
        18   -2.8334773315e+00    8.1849010576e+00   -6.6187206339e+00    3.7852433024e+00    1.1379392606e+00   -7.7566598945e+00    1.6000000000e+04    6.2430472019e-02    8.6871875000e-01
        19   -2.8381743942e+00    8.2058261819e+00   -6.4386095725e+00    3.6004351782e+00    1.1422012185e+00   -7.5808107910e+00    1.6000000000e+04    6.2958779525e-02    8.7334375000e-01
        20   -2.8379456642e+00    8.2058213676e+00   -6.4983854297e+00    3.6604397655e+00    1.1275201306e+00   -7.6259055603e+00    1.6000000000e+04    6.2523902475e-02    8.6821875000e-01
        21   -2.8345025234e+00    8.1856169472e+00   -6.6107355307e+00    3.7762330073e+00    1.1363937556e+00   -7.7471292862e+00    1.6000000000e+04    6.2173480069e-02    8.6846875000e-01
        22   -2.8323552533e+00    8.1753412235e+00   -6.5731105480e+00    3.7407552947e+00    1.1366253548e+00   -7.7097359027e+00    1.6000000000e+04    6.2194389131e-02    8.6975000000e-01
        23   -2.8421041019e+00    8.2300995261e+00   -6.3722059519e+00    3.5301018500e+00    1.1304861861e+00   -7.5026921380e+00    1.6000000000e+04    6.2010793544e-02    8.7234375000e-01
        24   -2.8221296646e+00    8.1217371767e+00   -6.7903220708e+00    3.9681924062e+00    1.1542191323e+00   -7.9445412031e+00    1.6000000000e+04    6.1851631475e-02    8.6675000000e-01
        25   -2.8266616713e+00    8.1453523747e+00   -6.5098486729e+00    3.6831870016e+00    1.1649105778e+00   -7.6747592508e+00    1.6000000000e+04    6.2289021719e-02    8.7403125000e-01
        26   -2.8495278209e+00    8.2692276384e+00   -6.3627283615e+00    3.5132005406e+00    1.1157489768e+00   -7.4784773383e+00    1.6000000000e+04    6.2462026681e-02    8.6965625000e-01
        27   -2.8400933318e+00    8.2157132624e+00   -6.5312774192e+00    3.6911840874e+00    1.1265914991e+00   -7.6578689183e+00    1.6000000000e+04    6.2565500000e-02    8.7087500000e-01
