Timestamp (ms),Node Power (W),Socket 0 CPU Power (W),Socket 0 GPU Power (W),Socket 0 Mem Power (W),Socket 1 CPU Power (W),Socket 1 GPU Power (W),Socket 1 Mem Power (W)
1696448587331, 422.000000, 110.000000, 71.000000, 21.000000,89.000000, 70.000000, 22.000000
1696448587364, 422.000000, 112.000000, 69.000000, 22.000000,88.000000, 69.000000, 21.000000
1696448587413, 451.000000, 109.000000, 70.000000, 21.000000,115.000000, 70.000000, 21.000000
1696448587481, 444.000000, 105.000000, 69.000000, 22.000000,123.000000, 69.000000, 23.000000
1696448587564, 429.000000, 96.000000, 70.000000, 20.000000,111.000000, 69.000000, 21.000000
1696448587606, 427.000000, 95.000000, 69.000000, 20.000000,110.000000, 69.000000, 20.000000
1696448587655, 424.000000, 95.000000, 70.000000, 21.000000,114.000000, 70.000000, 21.000000
1696448587713, 427.000000, 98.000000, 69.000000, 21.000000,108.000000, 69.000000, 21.000000
1696448587786, 422.000000, 93.000000, 69.000000, 21.000000,107.000000, 70.000000, 21.000000
1696448587838, 496.000000, 107.000000, 99.000000, 23.000000,120.000000, 98.000000, 22.000000
1696448587870, 482.000000, 101.000000, 99.000000, 20.000000,115.000000, 98.000000, 21.000000
1696448587912, 496.000000, 99.000000, 100.000000, 22.000000,112.000000, 100.000000, 21.000000
1696448587964, 498.000000, 102.000000, 102.000000, 23.000000,109.000000, 100.000000, 23.000000
1696448588012, 497.000000, 103.000000, 101.000000, 22.000000,111.000000, 100.000000, 22.000000
1696448588063, 495.000000, 98.000000, 101.000000, 22.000000,107.000000, 99.000000, 21.000000
1696448588112, 485.000000, 88.000000, 101.000000, 21.000000,109.000000, 99.000000, 22.000000
1696448588163, 485.000000, 88.000000, 102.000000, 23.000000,112.000000, 100.000000, 24.000000
1696448588213, 489.000000, 90.000000, 100.000000, 21.000000,112.000000, 100.000000, 24.000000
1696448588263, 490.000000, 96.000000, 102.000000, 23.000000,111.000000, 100.000000, 21.000000
1696448588321, 489.000000, 98.000000, 101.000000, 23.000000,110.000000, 100.000000, 22.000000
1696448588402, 466.000000, 93.000000, 102.000000, 21.000000,91.000000, 102.000000, 22.000000
1696448588471, 497.000000, 105.000000, 103.000000, 21.000000,93.000000, 100.000000, 21.000000
1696448588506, 509.000000, 126.000000, 102.000000, 22.000000,139.000000, 99.000000, 22.000000
1696448588544, 595.000000, 152.000000, 102.000000, 22.000000,162.000000, 101.000000, 21.000000
1696448588585, 555.000000, 130.000000, 102.000000, 21.000000,156.000000, 101.000000, 21.000000
1696448588620, 594.000000, 154.000000, 102.000000, 21.000000,155.000000, 104.000000, 22.000000
1696448588663, 547.000000, 116.000000, 101.000000, 21.000000,121.000000, 113.000000, 21.000000
