# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -8.5306210412e+00    1.4210641348e-01    1.0239000000e+04    1.0240000000e+04    0.0000000000e+00   -8.5284753878e+00    9.9439515116e-01    9.9902343750e-01
         1   -8.5355198171e+00    1.4571948178e-01    1.0241173061e+04    1.0240000000e+04    0.0000000000e+00   -8.5110888374e+00    9.9545098766e-01    9.9941406250e-01
         2   -8.5312600663e+00    1.4363879831e-01    1.0239927589e+04    1.0249000000e+04    3.7500000000e-01   -8.7112238647e+00    9.9514968478e-01    9.9882915406e-01
         3   -8.5337137977e+00    1.4321860470e-01    1.0240054800e+04    1.0239000000e+04    3.1250000000e-01   -8.5117278625e+00    9.9359220345e-01    9.9960933685e-01
         4   -8.5385780103e+00    1.4317621255e-01    1.0240123980e+04    1.0241000000e+04    1.8750000000e-01   -8.5532440941e+00    9.9428193147e-01    9.9931647300e-01
         5   -8.5321525889e+00    1.4357123224e-01    1.0239811234e+04    1.0236000000e+04    3.7500000000e-01   -8.4604377476e+00    9.9515453260e-01    9.9951152794e-01
         6   -8.5361232834e+00    1.4081844609e-01    1.0240097969e+04    1.0240000000e+04    4.3750000000e-01   -8.5321525889e+00    9.9456392329e-01    9.9941406250e-01
         7   -8.5386612097e+00    1.4443771843e-01    1.0240044463e+04    1.0237000000e+04    3.1250000000e-01   -8.4775209486e+00    9.9455691693e-01    9.9980463026e-01
         8   -8.5369371388e+00    1.4326062712e-01    1.0239951077e+04    1.0240000000e+04    2.5000000000e-01   -8.5386612097e+00    9.9454490620e-01    9.9970703125e-01
         9   -8.5383265483e+00    1.4270589846e-01    1.0240042897e+04    1.0242000000e+04    3.1250000000e-01   -8.5759958246e+00    9.9526123388e-01    9.9912126538e-01
        10   -8.5400864878e+00    1.4386843285e-01    1.0240011506e+04    1.0235000000e+04    1.8750000000e-01   -8.4406464487e+00    9.9569353862e-01    9.9970688813e-01
        11   -8.5357298065e+00    1.3619174547e-01    1.0239886252e+04    1.0240000000e+04    3.1250000000e-01   -8.5400864878e+00    9.9476780315e-01    9.9951171875e-01
        12   -8.5370452489e+00    1.4015926838e-01    1.0240043438e+04    1.0243000000e+04    3.7500000000e-01   -8.5943149751e+00    9.9415389773e-01    9.9882846822e-01
        13   -8.5376709658e+00    1.4104963263e-01    1.0239984845e+04    1.0234000000e+04    3.1250000000e-01   -8.4198234033e+00    9.9494403242e-01    9.9970685949e-01
        14   -8.5431459966e+00    1.4008287289e-01    1.0240135123e+04    1.0240000000e+04    2.5000000000e-01   -8.5376709658e+00    9.9513442884e-01    9.9960937500e-01
        15   -8.5391561339e+00    1.4096712191e-01    1.0239928221e+04    1.0245000000e+04    3.1250000000e-01   -8.6407784125e+00    9.9594434874e-01    9.9951195705e-01
        16   -8.5431721115e+00    1.4538729793e-01    1.0240109843e+04    1.0242000000e+04    1.8750000000e-01   -8.5782148197e+00    9.9400307239e-01    9.9921890256e-01
        17   -8.5445410291e+00    1.4602211434e-01    1.0240036364e+04    1.0241000000e+04    2.5000000000e-01   -8.5627024079e+00    9.9401489828e-01    9.9951176643e-01
        18   -8.5426893838e+00    1.4332350081e-01    1.0239958320e+04    1.0242000000e+04    2.5000000000e-01   -8.5835997149e+00    9.9576936851e-01    9.9892599102e-01
        19   -8.5397725227e+00    1.4310691213e-01    1.0239928181e+04    1.0239000000e+04    4.3750000000e-01   -8.5231571800e+00    9.9435996750e-01    9.9970700264e-01
        20   -8.5398988545e+00    1.4632872635e-01    1.0240009392e+04    1.0243000000e+04    2.5000000000e-01   -8.5983576913e+00    9.9505431887e-01    9.9892609587e-01
        21   -8.5431514207e+00    1.4600418895e-01    1.0240064827e+04    1.0236000000e+04    3.7500000000e-01   -8.4617585917e+00    9.9489392341e-01    9.9970691676e-01
        22   -8.5424301205e+00    1.4032579106e-01    1.0240007955e+04    1.0245000000e+04    3.7500000000e-01   -8.6407838366e+00    9.9564987111e-01    9.9921913128e-01
        23   -8.5393889505e+00    1.3934024196e-01    1.0239917489e+04    1.0239000000e+04    3.7500000000e-01   -8.5228979168e+00    9.9481159775e-01    9.9912100791e-01
