#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            IonIon              ElecElec            BlockWeight         BlockCPU            AcceptRatio         
         0   -8.5350158608e+00    7.2989707753e+01   -1.6218479996e+01    7.6834641356e+00   -1.1955430936e+01   -3.6892268292e+00   -5.7382223157e-01    1.0239900000e+05    2.7408004950e-01    9.9701917059e-01
         1   -8.5402150653e+00    7.3077265280e+01   -1.6197990578e+01    7.6577755131e+00   -1.1948000956e+01   -3.6892268292e+00   -5.6076279329e-01    1.0240900000e+05    2.4323595781e-01    9.9710945782e-01
         2   -8.5415937516e+00    7.3101921693e+01   -1.6147719976e+01    7.6061262240e+00   -1.1890925770e+01   -3.6892268292e+00   -5.6756737685e-01    1.0238000000e+05    2.4284580144e-01    9.9703081864e-01
         3   -8.5471103283e+00    7.3198828238e+01   -1.6090865274e+01    7.5437549461e+00   -1.1835051498e+01   -3.6892268292e+00   -5.6658694686e-01    1.0237100000e+05    2.3835864306e-01    9.9726266569e-01
         4   -8.5463591790e+00    7.3185206751e+01   -1.6118742687e+01    7.5723835080e+00   -1.1859426137e+01   -3.6892268292e+00   -5.7008972107e-01    1.0239800000e+05    2.4451112238e-01    9.9699669441e-01
         5   -8.5419957516e+00    7.3108721247e+01   -1.6174081316e+01    7.6320855639e+00   -1.1899566636e+01   -3.6892268292e+00   -5.8528785056e-01    1.0237000000e+05    2.4458225831e-01    9.9701083106e-01
         6   -8.5454189250e+00    7.3170219187e+01   -1.6144850471e+01    7.5994315460e+00   -1.1879036454e+01   -3.6892268292e+00   -5.7658718792e-01    1.0241100000e+05    2.4772862200e-01    9.9701446164e-01
         7   -8.5417996662e+00    7.3103978592e+01   -1.6098244333e+01    7.5564446665e+00   -1.1808342569e+01   -3.6892268292e+00   -6.0067493408e-01    1.0241400000e+05    2.4100419744e-01    9.9708533653e-01
         8   -8.5456019308e+00    7.3168075553e+01   -1.6098989420e+01    7.5533874897e+00   -1.1822495742e+01   -3.6892268292e+00   -5.8726684960e-01    1.0242100000e+05    2.4431750856e-01    9.9708803237e-01
         9   -8.5530834115e+00    7.3298857923e+01   -1.6174977012e+01    7.6218936002e+00   -1.1922572312e+01   -3.6892268292e+00   -5.6317787061e-01    1.0239900000e+05    2.5461228731e-01    9.9699212574e-01
