Timestamp (ms),Node Power (W),Socket 0 CPU Power (W),Socket 0 GPU Power (W),Socket 0 Mem Power (W),Socket 1 CPU Power (W),Socket 1 GPU Power (W),Socket 1 Mem Power (W)
1696452338886, 431.000000, 111.000000, 69.000000, 21.000000,100.000000, 69.000000, 21.000000
1696452338918, 458.000000, 113.000000, 68.000000, 21.000000,129.000000, 69.000000, 22.000000
1696452338968, 455.000000, 115.000000, 69.000000, 21.000000,119.000000, 70.000000, 21.000000
1696452339016, 440.000000, 110.000000, 69.000000, 21.000000,100.000000, 69.000000, 21.000000
1696452339067, 438.000000, 118.000000, 69.000000, 22.000000,112.000000, 69.000000, 21.000000
1696452339116, 419.000000, 94.000000, 70.000000, 21.000000,115.000000, 69.000000, 25.000000
1696452339166, 422.000000, 103.000000, 69.000000, 21.000000,105.000000, 69.000000, 21.000000
1696452339216, 427.000000, 98.000000, 69.000000, 21.000000,109.000000, 69.000000, 22.000000
1696452339266, 429.000000, 93.000000, 69.000000, 21.000000,112.000000, 69.000000, 21.000000
1696452339316, 415.000000, 91.000000, 69.000000, 21.000000,118.000000, 70.000000, 27.000000
1696452339366, 413.000000, 90.000000, 69.000000, 21.000000,106.000000, 69.000000, 21.000000
1696452339416, 415.000000, 89.000000, 69.000000, 20.000000,108.000000, 69.000000, 21.000000
1696452339482, 413.000000, 91.000000, 69.000000, 21.000000,103.000000, 69.000000, 21.000000
1696452339538, 658.000000, 216.000000, 69.000000, 20.000000,229.000000, 69.000000, 21.000000
1696452339569, 611.000000, 190.000000, 69.000000, 21.000000,205.000000, 69.000000, 21.000000
1696452339617, 476.000000, 119.000000, 69.000000, 21.000000,135.000000, 69.000000, 21.000000
1696452339673, 615.000000, 216.000000, 69.000000, 23.000000,236.000000, 70.000000, 23.000000
1696452339716, 447.000000, 110.000000, 69.000000, 22.000000,108.000000, 69.000000, 23.000000
1696452339766, 432.000000, 112.000000, 68.000000, 21.000000,110.000000, 69.000000, 21.000000
1696452339832, 424.000000, 104.000000, 70.000000, 21.000000,93.000000, 69.000000, 21.000000
1696452339874, 578.000000, 112.000000, 69.000000, 21.000000,114.000000, 69.000000, 21.000000
1696452339938, 663.000000, 218.000000, 69.000000, 21.000000,234.000000, 68.000000, 21.000000
1696452339984, 638.000000, 219.000000, 69.000000, 21.000000,235.000000, 70.000000, 21.000000
1696452340028, 566.000000, 93.000000, 69.000000, 21.000000,104.000000, 70.000000, 21.000000
1696452340079, 653.000000, 218.000000, 69.000000, 21.000000,234.000000, 69.000000, 21.000000
1696452340118, 664.000000, 220.000000, 69.000000, 21.000000,233.000000, 70.000000, 22.000000
1696452340174, 552.000000, 221.000000, 70.000000, 22.000000,237.000000, 70.000000, 22.000000
1696452340224, 663.000000, 218.000000, 69.000000, 21.000000,234.000000, 68.000000, 21.000000
1696452340270, 649.000000, 218.000000, 70.000000, 21.000000,235.000000, 70.000000, 21.000000
1696452340320, 675.000000, 228.000000, 69.000000, 21.000000,235.000000, 69.000000, 21.000000
1696452340378, 665.000000, 225.000000, 69.000000, 21.000000,234.000000, 70.000000, 21.000000
1696452340420, 602.000000, 104.000000, 70.000000, 21.000000,134.000000, 69.000000, 22.000000
1696452340470, 669.000000, 226.000000, 69.000000, 21.000000,234.000000, 70.000000, 21.000000
1696452340516, 666.000000, 95.000000, 70.000000, 21.000000,114.000000, 70.000000, 21.000000
1696452340566, 663.000000, 220.000000, 69.000000, 21.000000,236.000000, 70.000000, 21.000000
1696452340617, 607.000000, 220.000000, 69.000000, 21.000000,236.000000, 70.000000, 21.000000
1696452340683, 664.000000, 219.000000, 70.000000, 21.000000,236.000000, 70.000000, 21.000000
1696452340734, 558.000000, 220.000000, 68.000000, 21.000000,235.000000, 70.000000, 21.000000
1696452340780, 667.000000, 187.000000, 69.000000, 21.000000,225.000000, 70.000000, 21.000000
1696452340829, 662.000000, 218.000000, 69.000000, 20.000000,234.000000, 69.000000, 21.000000
1696452340880, 665.000000, 220.000000, 69.000000, 20.000000,236.000000, 68.000000, 21.000000
1696452340929, 656.000000, 219.000000, 69.000000, 20.000000,239.000000, 69.000000, 21.000000
1696452340979, 504.000000, 92.000000, 69.000000, 21.000000,106.000000, 70.000000, 21.000000
1696452341031, 662.000000, 217.000000, 69.000000, 21.000000,235.000000, 68.000000, 21.000000
1696452341077, 587.000000, 93.000000, 69.000000, 21.000000,116.000000, 70.000000, 22.000000
1696452341128, 655.000000, 219.000000, 68.000000, 21.000000,230.000000, 69.000000, 21.000000
1696452341197, 665.000000, 218.000000, 69.000000, 20.000000,231.000000, 69.000000, 22.000000
1696452341247, 649.000000, 221.000000, 69.000000, 21.000000,234.000000, 68.000000, 21.000000
